Designator,Mid X,Mid Y,Rotation,Layer
C1,151.75,-102.5,270.0,top
C10,161.55,-121.75,180.0,top
C11,165.75,-96.9,0.0,top
C12,164.0,-108.75,90.0,top
C13,169.8,-94.25,0.0,top
C14,155.0,-86.8,270.0,top
C15,142.75,-87.0,270.0,top
C16,167.874764,-105.305212,0.0,top
C17,153.75,-94.25,180.0,top
C18,152.25,-96.75,180.0,top
C19,161.5,-98.25,0.0,top
C2,154.75,-121.5,270.0,top
C20,157.75,-94.25,0.0,top
C21,170.6,-110.0,90.0,top
C22,169.0,-110.0,90.0,top
C23,167.2,-118.0,0.0,top
C24,148.5,-104.5,90.0,top
C25,175.052842,-94.417819,0.0,top
C26,178.636959,-105.309787,180.0,top
C3,161.243867,-109.380979,180.0,top
C4,165.25,-101.2,270.0,top
C5,159.25,-125.0,0.0,top
C6,157.75,-121.5,0.0,top
C7,167.0,-116.4,0.0,top
C8,160.5,-117.5,90.0,top
C9,166.5,-103.75,180.0,top
CON1,181.706,-101.092,180.0,top
D1,148.25,-99.0,270.0,top
D2,142.9,-91.5,180.0,top
D3,161.4,-100.0,0.0,top
D4,158.5,-85.25,270.0,top
F1,172.0,-88.0,0.0,top
J1,177.953871,-120.301446,90.0,top
L1,163.0,-114.0,90.0,top
L2,156.0,-91.75,0.0,top
L3,168.0,-114.0,0.0,top
LD1,145.0,-111.25,0.0,top
R1,148.5,-95.5,180.0,top
R10,155.5,-107.5,90.0,top
R11,166.75,-101.15,270.0,top
R12,168.555111,-100.97999,90.0,top
R13,168.390548,-106.887488,0.0,top
R14,155.5,-103.5,90.0,top
R15,165.5,-106.75,270.0,top
R16,165.85,-98.4,180.0,top
R17,171.388326,-99.569965,180.0,top
R18,142.9,-93.5,180.0,top
R19,161.5,-94.25,0.0,top
R2,153.25,-118.25,180.0,top
R20,161.5,-96.75,0.0,top
R21,157.4,-100.0,0.0,top
R22,171.0,-118.0,180.0,top
R23,172.2,-113.8,90.0,top
R24,169.2,-119.6,0.0,top
R25,172.2,-110.0,90.0,top
R26,167.4,-110.0,90.0,top
R27,169.25,-121.25,180.0,top
R28,175.06746,-99.558059,0.0,top
R29,179.578,-95.504,0.0,top
R3,161.25,-107.75,180.0,top
R30,179.578,-93.98,180.0,top
R31,177.719183,-101.41631,270.0,top
R32,178.636959,-103.835276,0.0,top
R4,163.2,-118.8,0.0,top
R5,164.4,-121.6,270.0,top
R6,170.8,-116.4,0.0,top
R7,161.6,-120.25,0.0,top
R8,165.9,-93.9,180.0,top
R9,165.9,-95.4,0.0,top
RV1,151.4,-121.8,270.0,top
U1,160.75,-104.0,0.0,top
U2,157.75,-119.0,180.0,top
U3,172.073624,-97.015047,0.0,top
U4,148.714,-85.0,180.0,top
U6,157.1,-96.25,0.0,top
U7,173.205944,-103.100938,0.0,top
W1,188.976,-127.0,0.0,top
W2,145.5,-127.0,0.0,top
W3,188.976,-91.75,0.0,top
